league,champion,picked_count,games_count,pick_percent,ban_count,ban_percent,pick_or_ban,pick_ban_pct,pick_rate,ban_rate,win_count,win_percent
LCS,Olaf,33.0,163.0,0.20245398773006135,104.0,0.6380368098159509,137.0,0.8404907975460123,20.245398773006134,63.80368098159509,22,0.6666666666666666
LCS,Orianna,61.0,163.0,0.37423312883435583,43.0,0.26380368098159507,104.0,0.6380368098159509,37.423312883435585,26.380368098159508,32,0.5245901639344263
LCS,Ornn,7.0,163.0,0.04294478527607362,0.0,0.0,7.0,0.04294478527607362,4.294478527607362,0.0,1,0.14285714285714285
LCS,Pantheon,7.0,163.0,0.04294478527607362,65.0,0.3987730061349693,72.0,0.44171779141104295,4.294478527607362,39.87730061349693,5,0.7142857142857143
LCS,Quinn,2.0,163.0,0.012269938650306749,0.0,0.0,2.0,0.012269938650306749,1.2269938650306749,0.0,0,0.0
LCS,Rakan,14.0,163.0,0.08588957055214724,6.0,0.03680981595092025,20.0,0.12269938650306748,8.588957055214724,3.6809815950920246,8,0.5714285714285714
LCS,Rek'Sai,2.0,163.0,0.012269938650306749,2.0,0.012269938650306749,4.0,0.024539877300613498,1.2269938650306749,1.2269938650306749,2,1.0
LCS,Rell,67.0,163.0,0.4110429447852761,67.0,0.4110429447852761,134.0,0.8220858895705522,41.104294478527606,41.104294478527606,36,0.5373134328358209
LCS,Renekton,51.0,163.0,0.3128834355828221,95.0,0.5828220858895705,146.0,0.8957055214723927,31.28834355828221,58.282208588957054,32,0.6274509803921569
LCS,Rengar,1.0,163.0,0.006134969325153374,0.0,0.0,1.0,0.006134969325153374,0.6134969325153374,0.0,0,0.0
LCS,Rumble,2.0,163.0,0.012269938650306749,0.0,0.0,2.0,0.012269938650306749,1.2269938650306749,0.0,1,0.5
LCS,Ryze,12.0,163.0,0.0736196319018405,12.0,0.0736196319018405,24.0,0.147239263803681,7.361963190184049,7.361963190184049,7,0.5833333333333334
LCS,Samira,18.0,163.0,0.11042944785276074,14.0,0.08588957055214724,32.0,0.19631901840490798,11.042944785276074,8.588957055214724,8,0.4444444444444444
LCS,Sejuani,1.0,163.0,0.006134969325153374,0.0,0.0,1.0,0.006134969325153374,0.6134969325153374,0.0,0,0.0
LCS,Senna,25.0,163.0,0.15337423312883436,55.0,0.3374233128834356,80.0,0.49079754601226994,15.337423312883436,33.74233128834356,11,0.44
LCS,Seraphine,25.0,163.0,0.15337423312883436,80.0,0.49079754601226994,105.0,0.6441717791411042,15.337423312883436,49.079754601226995,10,0.4
LCS,Sett,11.0,163.0,0.06748466257668712,10.0,0.06134969325153374,21.0,0.12883435582822086,6.748466257668712,6.134969325153374,3,0.2727272727272727
LCS,Shen,8.0,163.0,0.049079754601226995,13.0,0.07975460122699386,21.0,0.12883435582822086,4.9079754601226995,7.975460122699387,6,0.75
LCS,Sion,21.0,163.0,0.12883435582822086,6.0,0.03680981595092025,27.0,0.1656441717791411,12.883435582822086,3.6809815950920246,8,0.38095238095238093
LCS,Sivir,5.0,163.0,0.03067484662576687,0.0,0.0,5.0,0.03067484662576687,3.067484662576687,0.0,3,0.6
LCS,Skarner,12.0,163.0,0.0736196319018405,3.0,0.018404907975460124,15.0,0.09202453987730061,7.361963190184049,1.8404907975460123,4,0.3333333333333333
LCS,Sylas,10.0,163.0,0.06134969325153374,8.0,0.049079754601226995,18.0,0.11042944785276074,6.134969325153374,4.9079754601226995,6,0.6
LCS,Syndra,41.0,163.0,0.25153374233128833,34.0,0.2085889570552147,75.0,0.4601226993865031,25.153374233128833,20.858895705521473,15,0.36585365853658536
LCS,Tahm Kench,23.0,163.0,0.1411042944785276,9.0,0.05521472392638037,32.0,0.19631901840490798,14.11042944785276,5.521472392638037,11,0.4782608695652174
LCS,Taliyah,24.0,163.0,0.147239263803681,32.0,0.19631901840490798,56.0,0.34355828220858897,14.723926380368098,19.631901840490798,12,0.5
LCS,Taric,1.0,163.0,0.006134969325153374,0.0,0.0,1.0,0.006134969325153374,0.6134969325153374,0.0,0,0.0
LCS,Thresh,35.0,163.0,0.2147239263803681,55.0,0.3374233128834356,90.0,0.5521472392638037,21.472392638036812,33.74233128834356,14,0.4
LCS,Tristana,41.0,163.0,0.25153374233128833,37.0,0.22699386503067484,78.0,0.4785276073619632,25.153374233128833,22.699386503067483,24,0.5853658536585366
LCS,Twisted Fate,26.0,163.0,0.15950920245398773,62.0,0.3803680981595092,88.0,0.5398773006134969,15.950920245398773,38.036809815950924,12,0.46153846153846156
LCS,Udyr,53.0,163.0,0.32515337423312884,78.0,0.4785276073619632,131.0,0.803680981595092,32.515337423312886,47.85276073619632,26,0.49056603773584906
LCS,Urgot,1.0,163.0,0.006134969325153374,0.0,0.0,1.0,0.006134969325153374,0.6134969325153374,0.0,0,0.0
LCS,Varus,2.0,163.0,0.012269938650306749,2.0,0.012269938650306749,4.0,0.024539877300613498,1.2269938650306749,1.2269938650306749,1,0.5
LCS,Vayne,4.0,163.0,0.024539877300613498,3.0,0.018404907975460124,7.0,0.04294478527607362,2.4539877300613497,1.8404907975460123,1,0.25
LCS,Veigar,1.0,163.0,0.006134969325153374,0.0,0.0,1.0,0.006134969325153374,0.6134969325153374,0.0,1,1.0
LCS,Viktor,22.0,163.0,0.13496932515337423,8.0,0.049079754601226995,30.0,0.18404907975460122,13.496932515337424,4.9079754601226995,11,0.5
LCS,Volibear,3.0,163.0,0.018404907975460124,0.0,0.0,3.0,0.018404907975460124,1.8404907975460123,0.0,0,0.0
LCS,Xayah,33.0,163.0,0.20245398773006135,14.0,0.08588957055214724,47.0,0.2883435582822086,20.245398773006134,8.588957055214724,15,0.45454545454545453
LCS,Yasuo,1.0,163.0,0.006134969325153374,0.0,0.0,1.0,0.006134969325153374,0.6134969325153374,0.0,1,1.0
LCS,Yone,16.0,163.0,0.09815950920245399,14.0,0.08588957055214724,30.0,0.18404907975460122,9.815950920245399,8.588957055214724,9,0.5625
LCS,Ziggs,1.0,163.0,0.006134969325153374,0.0,0.0,1.0,0.006134969325153374,0.6134969325153374,0.0,0,0.0
LCS,Zoe,15.0,163.0,0.09202453987730061,5.0,0.03067484662576687,20.0,0.12269938650306748,9.202453987730062,3.067484662576687,10,0.6666666666666666
LEC,Aatrox,18.0,123.0,0.14634146341463414,20.0,0.16260162601626016,38.0,0.3089430894308943,14.634146341463413,16.260162601626014,11,0.6111111111111112
LEC,Ahri,3.0,123.0,0.024390243902439025,0.0,0.0,3.0,0.024390243902439025,2.4390243902439024,0.0,1,0.3333333333333333
LEC,Akali,3.0,123.0,0.024390243902439025,5.0,0.04065040650406504,8.0,0.06504065040650407,2.4390243902439024,4.0650406504065035,2,0.6666666666666666
LEC,Alistar,52.0,123.0,0.42276422764227645,33.0,0.2682926829268293,85.0,0.6910569105691057,42.27642276422765,26.82926829268293,23,0.4423076923076923
LEC,Aphelios,14.0,123.0,0.11382113821138211,3.0,0.024390243902439025,17.0,0.13821138211382114,11.38211382113821,2.4390243902439024,4,0.2857142857142857
LEC,Ashe,8.0,123.0,0.06504065040650407,6.0,0.04878048780487805,14.0,0.11382113821138211,6.504065040650407,4.878048780487805,5,0.625
LEC,Azir,34.0,123.0,0.2764227642276423,21.0,0.17073170731707318,55.0,0.44715447154471544,27.64227642276423,17.073170731707318,15,0.4411764705882353
LEC,Bard,1.0,123.0,0.008130081300813009,0.0,0.0,1.0,0.008130081300813009,0.8130081300813009,0.0,0,0.0
LEC,Blitzcrank,3.0,123.0,0.024390243902439025,4.0,0.032520325203252036,7.0,0.056910569105691054,2.4390243902439024,3.2520325203252036,2,0.6666666666666666
LEC,Braum,7.0,123.0,0.056910569105691054,2.0,0.016260162601626018,9.0,0.07317073170731707,5.691056910569105,1.6260162601626018,2,0.2857142857142857
LEC,Caitlyn,6.0,123.0,0.04878048780487805,18.0,0.14634146341463414,24.0,0.1951219512195122,4.878048780487805,14.634146341463413,1,0.16666666666666666
LEC,Camille,9.0,123.0,0.07317073170731707,28.0,0.22764227642276422,37.0,0.3008130081300813,7.317073170731707,22.76422764227642,3,0.3333333333333333
LEC,Cassiopeia,1.0,123.0,0.008130081300813009,0.0,0.0,1.0,0.008130081300813009,0.8130081300813009,0.0,0,0.0
LEC,Cho'Gath,6.0,123.0,0.04878048780487805,2.0,0.016260162601626018,8.0,0.06504065040650407,4.878048780487805,1.6260162601626018,4,0.6666666666666666
LEC,Corki,6.0,123.0,0.04878048780487805,4.0,0.032520325203252036,10.0,0.08130081300813008,4.878048780487805,3.2520325203252036,3,0.5
LEC,Darius,3.0,123.0,0.024390243902439025,1.0,0.008130081300813009,4.0,0.032520325203252036,2.4390243902439024,0.8130081300813009,2,0.6666666666666666
LEC,Dr. Mundo,4.0,123.0,0.032520325203252036,0.0,0.0,4.0,0.032520325203252036,3.2520325203252036,0.0,1,0.25
LEC,Ekko,4.0,123.0,0.032520325203252036,2.0,0.016260162601626018,6.0,0.04878048780487805,3.2520325203252036,1.6260162601626018,3,0.75
LEC,Evelynn,1.0,123.0,0.008130081300813009,0.0,0.0,1.0,0.008130081300813009,0.8130081300813009,0.0,0,0.0
LEC,Ezreal,8.0,123.0,0.06504065040650407,6.0,0.04878048780487805,14.0,0.11382113821138211,6.504065040650407,4.878048780487805,4,0.5
LEC,Fiora,1.0,123.0,0.008130081300813009,0.0,0.0,1.0,0.008130081300813009,0.8130081300813009,0.0,1,1.0
LEC,Galio,7.0,123.0,0.056910569105691054,3.0,0.024390243902439025,10.0,0.08130081300813008,5.691056910569105,2.4390243902439024,2,0.2857142857142857
LEC,Gangplank,11.0,123.0,0.08943089430894309,18.0,0.14634146341463414,29.0,0.23577235772357724,8.94308943089431,14.634146341463413,9,0.8181818181818182
LEC,Gnar,37.0,123.0,0.3008130081300813,31.0,0.25203252032520324,68.0,0.5528455284552846,30.081300813008134,25.203252032520325,15,0.40540540540540543
LEC,Gragas,43.0,123.0,0.34959349593495936,23.0,0.18699186991869918,66.0,0.5365853658536586,34.959349593495936,18.69918699186992,22,0.5116279069767442
LEC,Graves,24.0,123.0,0.1951219512195122,18.0,0.14634146341463414,42.0,0.34146341463414637,19.51219512195122,14.634146341463413,12,0.5
LEC,Hecarim,39.0,123.0,0.3170731707317073,27.0,0.21951219512195122,66.0,0.5365853658536586,31.70731707317073,21.951219512195124,18,0.46153846153846156
LEC,Irelia,4.0,123.0,0.032520325203252036,1.0,0.008130081300813009,5.0,0.04065040650406504,3.2520325203252036,0.8130081300813009,1,0.25
LEC,Ivern,3.0,123.0,0.024390243902439025,0.0,0.0,3.0,0.024390243902439025,2.4390243902439024,0.0,2,0.6666666666666666
