location,total_assistance,total_households,total_allocation,pct_spent,not_spent,type,state_abbr,program
Kentucky,86968997.0,19731.0,264304181.2,0.329,177335184.2,state_only,KY,ERA1
Oregon,114593541.0,18405.0,204366635.2,0.5607,89773094.19999999,state_only,OR,ERA1
Oklahoma,69201510.0,24661.0,210011148.5,0.3295,140809638.5,state_only,OK,ERA1
Connecticut,122265009.0,19105.0,235873751.1,0.5183,113608742.1,state_only,CT,ERA1
Utah,35477360.0,8009.0,150406053.9,0.2359,114928693.9,state_only,UT,ERA1
Iowa,23619473.0,8042.0,195110509.6,0.1211,171491036.6,state_only,IA,ERA1
Nevada,49113526.0,7653.0,124853714.5,0.3934,75740188.5,state_only,NV,ERA1
Hawaii,61193176.0,10124.0,125242649.0,0.4886,64049473.0,state_only,HI,ERA1
Arkansas,34386693.0,8837.0,173684765.5,0.198,139298072.5,state_only,AR,ERA1
Mississippi,54553652.0,14781.0,186696633.8,0.2922,132142981.80000001,state_only,MS,ERA1
Kansas,54719643.0,11934.0,169344015.1,0.3231,114624372.1,state_only,KS,ERA1
Vermont,33478178.0,21064.0,200000000.0,0.1674,166521822.0,state_only,VT,ERA1
Delaware,17715282.0,3442.0,200000000.0,0.0886,182284718.0,state_only,DE,ERA1
New Mexico,56454989.0,14632.0,161485443.0,0.3496,105030454.0,state_only,NM,ERA1
New Hampshire,45879319.0,8060.0,179496223.8,0.2556,133616904.80000001,state_only,NH,ERA1
Alaska,102671563.0,24675.0,164568140.0,0.6239,61896577.0,state_only,AK,ERA1
Rhode Island,47739830.0,6337.0,200000000.0,0.2387,152260170.0,state_only,RI,ERA1
Nebraska,9747834.0,3191.0,158572581.3,0.0615,148824747.3,state_only,NE,ERA1
West Virginia,28018348.0,7040.0,200000000.0,0.1401,171981652.0,state_only,WV,ERA1
Wyoming,9564543.0,3238.0,200000000.0,0.0478,190435457.0,state_only,WY,ERA1
South Dakota,6335630.0,2250.0,200000000.0,0.0317,193664370.0,state_only,SD,ERA1
Maine,45654197.0,12407.0,200000000.0,0.2283,154345803.0,state_only,ME,ERA1
North Dakota,10171752.0,6727.0,200000000.0,0.0509,189828248.0,state_only,ND,ERA1
Montana,20541994.0,3924.0,200000000.0,0.1027,179458006.0,state_only,MT,ERA1
Idaho,17133195.0,4214.0,175746360.6,0.0975,158613165.6,state_only,ID,ERA1
California,2019293696.0,270900.0,2610593356.3000007,0.7735,591299660.3000007,state_total,CA,ERA1
Texas,1423148101.0,312950.0,1946983604.0,0.731,523835503.0,state_total,TX,ERA1
Florida,648777265.0,134019.0,1441188973.3999999,0.4502,792411708.3999999,state_total,FL,ERA1
New York,990731108.0,83464.0,1282268820.9000003,0.7726,291537712.90000033,state_total,NY,ERA1
Pennsylvania,395613915.0,93838.0,847688778.8000001,0.4667,452074863.8000001,state_total,PA,ERA1
Illinois,702759693.0,85026.0,834709842.5999998,0.8419,131950149.59999979,state_total,IL,ERA1
Ohio,188122178.0,54655.0,775405764.4,0.2426,587283586.4,state_total,OH,ERA1
Georgia,175920986.0,35118.0,710207372.2000003,0.2477,534286386.2000003,state_total,GA,ERA1
North Carolina,552400394.0,178643.0,702966451.4999999,0.7858,150566057.49999988,state_total,NC,ERA1
Michigan,324433260.0,52114.0,660906592.1,0.4909,336473332.1,state_total,MI,ERA1
New Jersey,385189803.0,46332.0,589011704.4,0.654,203821901.39999998,state_total,NJ,ERA1
Virginia,459863063.0,75154.0,569661203.5,0.8073,109798140.5,state_total,VA,ERA1
Washington,272424378.0,57927.0,510182193.09999996,0.534,237757815.09999996,state_total,WA,ERA1
Arizona,154399896.0,50994.0,492131217.2,0.3137,337731321.2,state_total,AZ,ERA1
Massachusetts,263331931.0,82069.0,457129720.3,0.5761,193797789.3,state_total,MA,ERA1
Tennessee,99678337.0,24142.0,456682774.4999999,0.2183,357004437.4999999,state_total,TN,ERA1
Indiana,134607728.0,40534.0,447937423.40000004,0.3005,313329695.40000004,state_total,IN,ERA1
Missouri,132372539.0,33187.0,407924164.8,0.3245,275551625.8,state_total,MO,ERA1
Maryland,178124806.0,27769.0,401575013.8,0.4436,223450207.8,state_total,MD,ERA1
Wisconsin,130310472.0,39987.0,386777591.50000006,0.3369,256467119.50000006,state_total,WI,ERA1
Colorado,168768051.0,25616.0,385124024.49999994,0.4382,216355973.49999994,state_total,CO,ERA1
Minnesota,243508343.0,37098.0,375152158.5,0.6491,131643815.5,state_total,MN,ERA1
South Carolina,75140683.0,19088.0,346020970.5,0.2172,270880287.5,state_total,SC,ERA1
