state,date,fy_value,fy_pct,ytd_value,ytd_pct
Louisiana,2016,391869.0,0.05167828282963827,65131.0,0.11764907764907773
Louisiana,2017,329201.0,-0.1599207898557936,55393.0,-0.1495140562865609
Louisiana,2018,307192.0,-0.06685581149510478,47193.0,-0.14803314498221798
Louisiana,2019,282264.0,-0.08114794656110835,46290.0,-0.019134193630411245
Louisiana,2020,430537.0,0.5252990108550861,48382.0,0.04519334629509619
Louisiana,2021,66935.0,-0.844531364319443,66935.0,0.383469058740854
Maine,1999,47160.0,-0.2954358706207515,5064.0,-0.9243445133338313
Maine,2000,45028.0,-0.045207803223070386,5329.0,0.052330173775671396
Maine,2001,50019.0,0.11084214266678516,5220.0,-0.020454118971664492
Maine,2002,49922.0,-0.001939263080029563,6303.0,0.20747126436781604
Maine,2003,50897.0,0.01953046752934573,6025.0,-0.0441059812787562
Maine,2004,52665.0,0.034736821423659636,6682.0,0.10904564315352694
Maine,2005,50319.0,-0.04454571347194536,6522.0,-0.023944926668662103
Maine,2006,53106.0,0.055386633279675745,7520.0,0.15302054584483282
Maine,2007,51279.0,-0.03440289232855043,6868.0,-0.08670212765957441
Maine,2008,56561.0,0.10300512880516388,7021.0,0.022277227722772297
Maine,2009,60955.0,0.07768603808277796,8876.0,0.2642073778664007
Maine,2010,65988.0,0.0825691083586253,8865.0,-0.0012392969806218623
Maine,2011,73127.0,0.10818633690974111,9672.0,0.09103214890016931
Maine,2012,91834.0,0.2558152255664803,13172.0,0.3618693134822166
Maine,2013,96760.0,0.05364026395452659,19567.0,0.48549954448830857
Maine,2014,83085.0,-0.1413290615957007,12774.0,-0.34716614708437676
Maine,2015,94744.0,0.14032617199253772,11589.0,-0.09276655706904646
Maine,2016,111582.0,0.17772101663429885,18712.0,0.6146345672620588
Maine,2017,96590.0,-0.1343585883027728,14596.0,-0.21996579734929456
Maine,2018,93360.0,-0.033440314732373966,13666.0,-0.06371608659906824
Maine,2019,90626.0,-0.029284490145672692,13476.0,-0.013903117225230521
Maine,2020,137149.0,0.5133515768101868,15366.0,0.1402493321460374
Maine,2021,22678.0,-0.8346469897702499,22678.0,0.4758557855004555
Maryland,1999,91381.0,3.0294999559044005,12633.0,-0.44294029455860306
Maryland,2000,84309.0,-0.07739026712336261,12324.0,-0.02445974827831865
Maryland,2001,83347.0,-0.011410406955366548,11930.0,-0.03197013956507633
Maryland,2002,78764.0,-0.05498698213492992,12035.0,0.0088013411567478
Maryland,2003,78270.0,-0.006271900868417002,13568.0,0.12737847943498126
Maryland,2004,77481.0,-0.01008049060942895,11637.0,-0.14232016509433965
Maryland,2005,80947.0,0.04473354757940662,12371.0,0.06307467560367797
Maryland,2006,82207.0,0.015565740546283457,13925.0,0.12561636084390915
Maryland,2007,80249.0,-0.023817923047915635,13860.0,-0.0046678635547576786
Maryland,2008,89583.0,0.11631297586262757,14000.0,0.010101010101010166
Maryland,2009,95191.0,0.06260116316711883,18005.0,0.28607142857142853
Maryland,2010,88162.0,-0.07384101438161172,14029.0,-0.22082754790336023
Maryland,2011,103020.0,0.168530659467798,16280.0,0.1604533466391047
Maryland,2012,136604.0,0.32599495243642007,21079.0,0.2947788697788698
Maryland,2013,231182.0,0.6923516148868261,34633.0,0.6430096304378765
Maryland,2014,142207.0,-0.3848699293197567,40714.0,0.1755839805965409
Maryland,2015,125694.0,-0.11611945966091686,18403.0,-0.5479933192513632
Maryland,2016,165367.0,0.31563161328305256,28056.0,0.5245340433624952
Maryland,2017,158659.0,-0.040564320571819024,28220.0,0.005845451953236491
Maryland,2018,151470.0,-0.04531101292709516,25809.0,-0.08543586109142454
Maryland,2019,148813.0,-0.017541427345348914,24166.0,-0.0636599635785966
Maryland,2020,302563.0,1.0331758650117933,28966.0,0.19862616899776553
Maryland,2021,54945.0,-0.8184014568866649,54945.0,0.8968790996340537
Massachusetts,1999,24314.0,-0.5574847574847575,1859.0,-0.9661661661661661
Massachusetts,2000,54843.0,1.2556140495187957,5403.0,1.9064012910166754
Massachusetts,2001,66635.0,0.21501376657002713,10357.0,0.9168980196187304
Massachusetts,2002,94824.0,0.4230359420724845,14094.0,0.3608187699140677
Massachusetts,2003,131395.0,0.38567240361090027,21817.0,0.5479636724847452
Massachusetts,2004,112996.0,-0.1400281593667948,18471.0,-0.15336664069303751
Massachusetts,2005,105347.0,-0.06769266168713939,18622.0,0.008174976990958704
Massachusetts,2006,137148.0,0.30186906129268043,20451.0,0.09821716249597245
Massachusetts,2007,165446.0,0.20633184588911258,28696.0,0.4031587697423109
Massachusetts,2008,119859.0,-0.27554005536549686,22490.0,-0.21626707555059943
Massachusetts,2009,98864.0,-0.17516415121100626,17190.0,-0.23566029346376172
Massachusetts,2010,115904.0,0.17235798672924418,17184.0,-0.0003490401396160081
Massachusetts,2011,153487.0,0.324259732192159,23455.0,0.36493249534450656
Massachusetts,2012,210453.0,0.3711454390274096,29148.0,0.2427201023235983
Massachusetts,2013,251361.0,0.19438069307636385,49276.0,0.690544805818581
Massachusetts,2014,179344.0,-0.2865082490919435,34570.0,-0.2984414319344103
Massachusetts,2015,167285.0,-0.06723949504862159,24151.0,-0.3013884871275673
Massachusetts,2016,226212.0,0.35225513345488246,38043.0,0.5752142768415387
Massachusetts,2017,206492.0,-0.08717486251834561,38126.0,0.0021817417133243033
Massachusetts,2018,211295.0,0.023259981016213738,32583.0,-0.14538635052195348
