id,mapAddress,name,License Type,Last Inspection Date,License Number
NDE1NTYw,1370 MINERAL SPRING AVE NORTH PROVIDENCE RI 02904,CAFE ZORBA PIZZA AND PUB,Seats - 50 or More,10-25-2017,FSV32307
MjM5MDU2,159 SACKETT STREET PROVIDENCE RI 02907,LILLIAN FEINSTEIN SCHOOL,Food Service (Non-Profit),10-24-2017,FSV00547
MjQxNzQw,2 CHESTNUT DRIVE EAST GREENWICH RI 02818,MEADOWBROOK FARMS SCHOOL,Food Service (Non-Profit),10-24-2017,FSV01749
MjQyMTkw,57 STOKES STREET WARWICK RI 02889,AVALON NURSING HOME,Seats -  Less than 50,10-24-2017,FSV01795
MjQyODA2,234 DABOLL STREET PROVIDENCE RI 02907,FORTES SCHOOL,Food Service (Non-Profit),10-24-2017,FSV18545
MjQ1MTI4,6 WASHINGTON STREET WARREN RI 02885,ROD'S GRILLE INC,Seats -  Less than 50,10-24-2017,FSV03946
MjQ1ODA5,12 KENDALL STREET CENTRAL FALLS RI 02863,G HAROLD HUNT SCHOOL,Food Service (Non-Profit),10-24-2017,FSV08740
MjQ1ODg0,275 COWESETT AVENUE WEST WARWICK RI 02893,DUNKIN DONUTS,Seats -  Less than 50,10-24-2017,FSV09170
MjQ2MDk1,200 MIDDLE RD. EAST GREENWICH RI 02818,HANAFORD SCHOOL,Food Service (Non-Profit),10-24-2017,FSV10334
MjQ2MjI4,15 BOUGH ST PROVIDENCE RI 02909,CITE IN (SCHOOL),Food Service (Non-Profit),10-24-2017,FSV10776
MjQ4MjI0,836 HOPE STREET PROVIDENCE RI 02906,NOT JUST SPICES,Cash Registers - 1-2,10-24-2017,MRK06009
MjUwMzQ2,820 HOPE STREET PROVIDENCE RI 02906,SEVEN STARS BAKERY LLC,Seats -  Less than 50,10-24-2017,FSV20538
MjUwNDE2,95 LONG WHARF NEWPORT RI 02840,CELTICA,Seats - 50 or More,10-24-2017,FSV21035
MjU2NjI3,163 KINGSTOWN ROAD RICHMOND RI 02898,MEADOW BROOK GOLF COURSE,Seats -  Less than 50,10-24-2017,FSV24954
MjU3NDEz,75 JOHN STREET PROVIDENCE RI 02906,FRENCH AMERICAN SCHOOL OF RHODE ISLAND,Food Service (Non-Profit),10-24-2017,FSV25414
MjU3NjI2,1200 HARTFORD AVENUE JOHNSTON RI 02919,PATS ITALIAN RESTAURANT,Caterer or Commissary,10-24-2017,FSV25355
MjU3NzA5,251 THAMES STREET BRISTOL RI 02809,THAMES WATERSIDE BAR AND GRILL,Seats -  Less than 50,10-24-2017,FSV25426
MjYxNjky,3079 TOWER HILL ROAD SOUTH KINGSTOWN RI 02879,ALLTOWN,Cash Registers - 1-2,10-24-2017,MRK07961
MjYxODM5,400 BALD HILL RD WARWICK RI 02886,RED ROBIN GOURMET BURGERS,Seats - 50 or More,10-24-2017,FSV28246
MjYyMDEx,1379 ATWOOD AVENUE JOHNSTON RI 02919,TACO BELL,Seats -  Less than 50,10-24-2017,FSV28013
MjYyMTI5,1762 LOUISQUISSET PIKE LINCOLN RI 02865,LESSINGS AT CCRI LINCOLN,Seats - 50 or More,10-24-2017,FSV28221
MjYyNDAx,1505 ATWOOD AVE JOHNSTON RI 02919,NORTHERN LOBSTER,Food Processor Retail - In-State,10-24-2017,FPR03306
MjYzMDEx,244 TAUNTON AVENUE EAST PROVIDENCE RI 02914,EAST BAY FOOD MART,Cash Registers - 1-2,10-24-2017,MRK08151
MjY0NDA2,20 ROLFE SQUARE CRANSTON RI 02910,DELICIOUS,Seats -  Less than 50,10-24-2017,FSV29359
MjY2MTMy,9 GREENVILLE AVE JOHNSTON RI 02919,FU MING CHINESE RESTAURANT INC,Seats - 50 or More,10-24-2017,FSV30248
MzU4MzY0,6 BROADWAY NEWPORT RI 02840,RAW POWER JUICE BAR AND KITCHEN LLC,Seats -  Less than 50,10-24-2017,FSV30418
NDE0NTU0,5 MILLER ST WARREN RI 02885,IMAGINE ENTERPRISES LLC,Seats -  Less than 50,10-24-2017,FSV31347
NDE0ODQ5,1420 MINERAL SPRING AVE NORTH PROVIDENCE RI 02904,DEXTER TRAINING CONCEPTS,Seats -  Less than 50,10-24-2017,FSV31687
NDE1MzMy,184 HOPE ST PROVIDENCE RI 02912,BROWN UNIVERSITY SCHOOL OF ENGINEERING,Food Service (Non-Profit),10-24-2017,FSV32458
NjExOTgz,332-334 WARREN AVE EAST PROVIDENCE RI 02914,KHAOSAN,Seats -  Less than 50,10-24-2017,FSV32293
NjEyMTE1,140 PT JUDITH RD A5 AND A6 NARRAGANSETT RI 02882,PROOF,Seats - 50 or More,10-24-2017,FSV32448
NjEyMzM0,1413 WESTMINSTER ST PROVIDENCE RI 02909,BOLD MACARONS,Food Processor Retail - In-State,10-24-2017,FPR04903
MjM4OTUw,600 MT PLEASANT AVENUE PROVIDENCE RI 02908,R I COLLEGE DONOVAN DINING CENTER,Food Service (Non-Profit),10-23-2017,FSV00110
MjQyMjcz,35 RED CHIMNEY DRIVE WARWICK RI 02886,CEDAR HILL SCHOOL,Food Service (Non-Profit),10-23-2017,FSV01803
MjQzNTMz,1239 DIVISION STREET WARWICK RI 02886,DUNKIN DONUTS,Seats -  Less than 50,10-23-2017,FSV19233
MjQ0NTc3,50 GLEN HILLS DRIVE CRANSTON RI 02920,GLEN HILLS SCHOOL,Food Service (Non-Profit),10-23-2017,FSV02243
MjQ0NTc4,135 GANSETT AVENUE CRANSTON RI 02910,HUGH B BAIN JR HIGH SCHOOL,Food Service (Non-Profit),10-23-2017,FSV02248
MjQ0NTky,100 CRESCENT AVENUE CRANSTON RI 02910,STADIUM SCHOOL,Food Service (Non-Profit),10-23-2017,FSV02305
MjU0OTkw,47 CANAL STREET WESTERLY RI 02891,CLYDESDALE TAVERN,Seats -  Less than 50,05-14-2018,FSV23710
MjU5MDEx,681 RESERVOIR AVENUE CRANSTON RI 02910,CVS PHARMACY NO 212,Cash Registers - 3-5 ,05-14-2018,MRK07585
MjYxNTU0,13 LEGION DRIVE PAWTUCKET RI 02860,CHILDRENS FRIEND DEAN CENTER,Food Service (Non-Profit),05-14-2018,FSV28016
MjYxNjIx,7 DOWLING VILLAGE BOULEVARD NORTH SMITHFIELD RI 02896,WAL MART NO 2225,Cash Registers - 6 or more ,05-14-2018,MRK08140
MjY0MzAx,579 B RESERVOIR AVE CRANSTON RI 02910,MOON MARKET,Cash Registers - 1-2,05-14-2018,MRK08328
MjQ2OTE3,623 METACOM AVENUE WARREN RI 02885,PAPA GINOS NO 413,Seats - 50 or More,10-23-2017,FSV13460
MjQ4NzYw,601 METACOM AVENUE WARREN RI 02885,OCEAN STATE JOB LOT OF WARREN INC,Cash Registers - 3-5 ,10-23-2017,MRK04052
MjQ4Nzcz,1590 MINERAL SPRING AVENUE NORTH PROVIDENCE RI 02904,SHORE'S MARKET INC,Cash Registers - 3-5 ,10-23-2017,MRK04110
MjQ4Nzg2,117 IVES STREET PROVIDENCE RI 02906,EAGLE SUPERMARKET,Cash Registers - 1-2,10-23-2017,MRK04138
MjU2MDAx,685 AIRPORT ROAD WARWICK RI 02886,ALLSTAR BAR AND GRILL,Seats - 50 or More,10-23-2017,FSV24300
MjU2NzM3,1555 SCITUATE AVENUE CRANSTON RI 02921,ORCHARD FARMS ELEMENTARY,Food Service (Non-Profit),10-23-2017,FSV24815
MjU3Mjcy,202 THAMES STREET NEWPORT RI 02840,JD CONVENIENCE / SHIVAM INC,Cash Registers - 1-2,10-23-2017,MRK07331
MjU4NDIw,422 LLOYD AVENUE PROVIDENCE RI 02906,EASTSIDE MART,Cash Registers - 1-2,10-23-2017,MRK07493
MjYwMjY2,29 MEMORIAL BOULEVARD NEWPORT RI 02840,7 ELEVEN NO 23880 C,Cash Registers - 1-2,10-23-2017,MRK07788
MjYxMzAy,790 RESERVOIR AVENUE CRANSTON RI 02920,HOUSE OF NOODLE SOUP,Seats -  Less than 50,10-23-2017,FSV27585
MjYyMDkw,38 DR MARCUS WHEATLAND BLVD NEWPORT RI 02840,TENDER CARE LEARNING CENTER,Seats -  Less than 50,10-23-2017,FSV28226
MjY0MDAx,RHODE ISLAN COLLEGE EAST CAMPUS GALLEY PROVIDENCE RI 02908,DONOVAN DINING CENTER AT RIC GALLEY EAST CAMPUS,Food Service (Non-Profit),10-23-2017,FSV31333
