City/Town,election,year,Total Votes,Election Day,Mail Ballots,Emergency,% - Mail,% - Turnout,turnout_rank
LINCOLN,primary,2010,3084,3012,72,0.0,0.023346303501945526,0.1793440334961619,11.0
LINCOLN,primary,2012,2342,2279,63,0.0,0.0269000853970965,0.14076211083062867,12.0
LINCOLN,primary,2014,4008,3923,85,0.0,0.02120758483033932,0.23348479552603985,14.0
LINCOLN,primary,2016,1260,1213,47,0.0,0.0373015873015873,0.07118241907236879,20.0
LITTLE COMPTON,general,2010,1825,1736,89,0.0,0.04876712328767123,0.5960156760287394,2.0
LITTLE COMPTON,general,2012,2190,2000,190,0.0,0.0867579908675799,0.7096565132858069,3.0
LITTLE COMPTON,general,2014,1668,1567,101,0.0,0.0605515587529976,0.5344440884331945,4.0
LITTLE COMPTON,general,2016,2226,1975,251,0.0,0.11275831087151841,0.6943231441048034,2.0
LITTLE COMPTON,general,2018,1973,1804,169,0.0,0.08565636087176888,0.5969742813918305,2.0
LITTLE COMPTON,primary,2010,504,494,10,0.0,0.01984126984126984,0.1653000983929157,16.0
LITTLE COMPTON,primary,2012,206,197,9,0.0,0.043689320388349516,0.06668824862415021,30.0
LITTLE COMPTON,primary,2014,680,659,21,0.0,0.030882352941176472,0.22013596633214633,19.0
LITTLE COMPTON,primary,2016,276,266,10,0.0,0.036231884057971016,0.08742477035159962,12.0
LITTLE COMPTON,primary,2020,565,233,238,94.0,0.42123893805309737,0.213449187759728,4.0
MIDDLETOWN,general,2010,5249,4989,260,0.0,0.049533244427510004,0.5032115808647302,28.0
MIDDLETOWN,general,2012,7295,6651,644,0.0,0.08827964359150103,0.6741521116347842,14.0
MIDDLETOWN,general,2014,5457,5074,383,0.0,0.07018508337914606,0.4851529160739687,19.0
MIDDLETOWN,general,2016,7649,6520,1129,0.0,0.14760099359393386,0.6617926976985637,14.0
MIDDLETOWN,general,2018,6180,5432,748,0.0,0.12103559870550162,0.5246179966044142,24.0
MIDDLETOWN,primary,2010,983,911,72,0.0,0.07324516785350967,0.09484754920879969,36.0
MIDDLETOWN,primary,2012,695,645,50,0.0,0.07194244604316546,0.06477770528474229,31.0
MIDDLETOWN,primary,2014,1909,1796,113,0.0,0.05919329491880566,0.17118005738880918,32.0
MIDDLETOWN,primary,2016,857,788,69,0.0,0.08051341890315053,0.07615746911934596,18.0
MIDDLETOWN,primary,2020,1131,386,643,102.0,0.5685234305923961,0.13829787234042554,15.0
NARRAGANSETT,general,2010,6587,6232,355,0.0,0.05389403370274784,0.5384175249305215,15.0
NARRAGANSETT,general,2012,7830,7266,564,0.0,0.07203065134099616,0.6576516042331597,17.0
NARRAGANSETT,general,2014,6183,5851,332,0.0,0.053695617014394306,0.5131972111553785,7.0
NARRAGANSETT,general,2016,8210,7335,875,0.0,0.10657734470158343,0.6538185872421757,17.0
NARRAGANSETT,general,2018,7134,6493,641,0.0,0.08985141575553686,0.5628846457314186,12.0
NARRAGANSETT,primary,2010,2564,2523,41,0.0,0.015990639625585022,0.21018116239035986,5.0
NARRAGANSETT,primary,2012,1970,1921,49,0.0,0.024873096446700507,0.1663008610501435,7.0
NARRAGANSETT,primary,2014,3071,2972,99,0.0,0.03223705633344188,0.25677257525083613,6.0
NARRAGANSETT,primary,2016,2206,2145,61,0.0,0.027651858567543066,0.17860901951259006,2.0
NARRAGANSETT,primary,2020,3146,1437,1300,409.0,0.4132231404958678,0.24795081967213115,2.0
NEW SHOREHAM,general,2010,827,698,129,0.0,0.15598548972188633,0.5652768284347232,6.0
NEW SHOREHAM,general,2012,978,786,192,0.0,0.19631901840490798,0.6801112656467315,9.0
NEW SHOREHAM,general,2014,744,620,124,0.0,0.16666666666666666,0.5155925155925156,6.0
NEW SHOREHAM,general,2016,904,710,194,0.0,0.21460176991150443,0.6334968465311843,27.0
NEW SHOREHAM,general,2018,786,619,167,0.0,0.21246819338422393,0.5695652173913044,6.0
NEW SHOREHAM,primary,2010,142,135,7,0.0,0.04929577464788732,0.09712722298221614,34.0
NEW SHOREHAM,primary,2012,76,72,4,0.0,0.05263157894736842,0.05303558967201675,37.0
NEW SHOREHAM,primary,2014,233,224,9,0.0,0.03862660944206009,0.16135734072022162,36.0
NEW SHOREHAM,primary,2016,54,53,1,0.0,0.018518518518518517,0.03805496828752643,31.0
NEW SHOREHAM,primary,2020,242,128,101,13.0,0.41735537190082644,0.17561683599419448,9.0
NEWPORT,general,2010,7058,6712,346,0.0,0.04902238594502692,0.5313558684032221,17.0
NEWPORT,general,2012,9369,8524,845,0.0,0.09019105560892304,0.6572891819840045,18.0
NEWPORT,general,2014,7750,7159,591,0.0,0.07625806451612903,0.5541651769753307,2.0
NEWPORT,general,2016,9776,8565,1211,0.0,0.12387479541734861,0.6516464471403813,18.0
NEWPORT,general,2018,8012,7178,834,0.0,0.10409385921118322,0.5152080252073822,25.0
NEWPORT,primary,2010,2763,2657,106,0.0,0.03836409699601882,0.20982685297691372,6.0
NEWPORT,primary,2012,1598,1514,84,0.0,0.052565707133917394,0.11331725996312579,18.0
NEWPORT,primary,2014,3401,3207,194,0.0,0.057042046456924435,0.24686070987878347,8.0
NEWPORT,primary,2016,755,704,51,0.0,0.06754966887417219,0.051875772983372266,24.0
NEWPORT,primary,2020,3034,1570,1245,219.0,0.41034937376400793,0.19487442995696577,8.0
NORTH KINGSTOWN,general,2010,11782,11289,493,0.0,0.04184349006959769,0.5447567967449602,13.0
NORTH KINGSTOWN,general,2012,14770,13687,1083,0.0,0.07332430602572783,0.6892528816090345,6.0
NORTH KINGSTOWN,general,2014,11201,10570,631,0.0,0.056334255870011604,0.509599636032757,12.0
NORTH KINGSTOWN,general,2016,15451,13789,1662,0.0,0.1075658533428257,0.6711406480757536,9.0
NORTH KINGSTOWN,general,2018,13328,12186,1142,0.0,0.0856842737094838,0.5658967391304348,9.0
NORTH KINGSTOWN,primary,2010,2986,2867,119,0.0,0.039852645679839246,0.13838809843815172,25.0
NORTH KINGSTOWN,primary,2012,2463,2312,151,0.0,0.06130734876167276,0.11573704243221652,17.0
NORTH KINGSTOWN,primary,2014,5107,4877,230,0.0,0.0450362247895046,0.23410497364198946,13.0
NORTH KINGSTOWN,primary,2016,913,881,32,0.0,0.03504928806133625,0.040414324288433445,29.0
NORTH KINGSTOWN,primary,2020,3489,1384,1741,364.0,0.49899684723416454,0.14814028532608695,14.0
NORTH PROVIDENCE,general,2010,12465,12178,287,0.0,0.023024468511833134,0.47287556904400607,33.0
NORTH PROVIDENCE,general,2012,15441,14739,702,0.0,0.04546337672430542,0.5823935427903293,35.0
NORTH PROVIDENCE,general,2014,11271,10812,459,0.0,0.04072398190045249,0.41701198756844754,34.0
NORTH PROVIDENCE,general,2016,15669,14777,892,0.0,0.056927691620396965,0.6081033880544883,32.0
NORTH PROVIDENCE,general,2018,12276,11653,623,0.0,0.050749429781687845,0.4812230497843983,32.0
NORTH PROVIDENCE,primary,2010,6527,6399,128,0.0,0.019610847249885092,0.24854346749933362,4.0
NORTH PROVIDENCE,primary,2012,5295,5134,161,0.0,0.030406043437204912,0.2002799001437325,3.0
NORTH PROVIDENCE,primary,2014,7277,7023,254,0.0,0.034904493610004125,0.2709333929036822,5.0
NORTH PROVIDENCE,primary,2016,7668,7362,306,0.0,0.03990610328638498,0.3051211650949027,1.0
NORTH PROVIDENCE,primary,2020,3926,2363,1315,248.0,0.3349465104431992,0.20011213619450532,7.0
NORTH SMITHFIELD,general,2010,4841,4676,165,0.0,0.03408386696963437,0.5037460978147763,27.0
NORTH SMITHFIELD,general,2012,6100,5723,377,0.0,0.06180327868852459,0.6259620318111853,30.0
NORTH SMITHFIELD,general,2014,4454,4275,179,0.0,0.04018859452177818,0.4397709320695103,29.0
NORTH SMITHFIELD,general,2016,6329,5962,367,0.0,0.0579870437667878,0.6029341716680956,33.0
NORTH SMITHFIELD,general,2018,5057,4803,254,0.0,0.0502274075538857,0.47752596789423984,34.0
NORTH SMITHFIELD,primary,2010,1443,1409,34,0.0,0.02356202356202356,0.1506577573606181,19.0
NORTH SMITHFIELD,primary,2012,660,650,10,0.0,0.015151515151515152,0.067866323907455,29.0
NORTH SMITHFIELD,primary,2014,1757,1717,40,0.0,0.022766078542970972,0.17519194336424368,29.0
NORTH SMITHFIELD,primary,2016,760,732,28,0.0,0.03684210526315789,0.07397313607163714,19.0
NORTH SMITHFIELD,primary,2020,1276,659,436,181.0,0.34169278996865204,0.11921891058581706,22.0
PAWTUCKET,general,2010,16249,15699,550,0.0,0.033848236814573204,0.4219094851089243,36.0
PAWTUCKET,general,2012,24121,23054,1067,0.0,0.04423531362712989,0.5852480892878806,34.0
PAWTUCKET,general,2014,14035,13419,616,0.0,0.04389027431421447,0.3254417288874461,37.0
PAWTUCKET,general,2016,23302,21799,1503,0.0,0.06450090121019655,0.533311972169455,36.0
PAWTUCKET,general,2018,17274,16441,833,0.0,0.04822276253328702,0.38215968673259443,36.0
PAWTUCKET,primary,2010,9753,9364,389,0.0,0.039885163539423764,0.25506708162251224,3.0
PAWTUCKET,primary,2012,6518,6174,344,0.0,0.05277692543725069,0.15935261472263648,8.0
PAWTUCKET,primary,2014,8713,8310,403,0.0,0.04625272581200505,0.20456893313298272,24.0
PAWTUCKET,primary,2016,5486,5180,306,0.0,0.05577834487787094,0.12883680514783588,4.0
PAWTUCKET,primary,2020,6744,3312,2948,484.0,0.43712930011862394,0.1587869655302317,12.0
