result.event,result.eventCode,result.eventTypeId,result.description,about.eventIdx,about.eventId,about.period,about.periodType,about.ordinalNum,about.periodTime,about.periodTimeRemaining,about.dateTime,about.goals.away,about.goals.home,data.timeout_id,game_id,game_type,home_team,away_team,away_final_score,home_final_score,timeout_team,timeout_against,score_diff,end_score_diff,before_timeout,end_result,game_seconds
Stoppage,CGY584,STOP,Home Timeout,304,584,3,REGULAR,3rd,19:47,00:13,2021-03-27T04:30:42Z,3,2,1,2020020527,R,Calgary Flames,Winnipeg Jets,3,2,Calgary Flames,Winnipeg Jets,-1.0,-1.0,losing,losing,3587
Stoppage,TOR582,STOP,Home Timeout,263,582,3,REGULAR,3rd,19:08,00:52,2021-03-28T01:35:25Z,3,3,1,2020020536,R,Toronto Maple Leafs,Edmonton Oilers,3,4,Toronto Maple Leafs,Edmonton Oilers,0.0,1.0,tied,winning,3548
Stoppage,CHI624,STOP,Visitor Timeout,277,624,3,REGULAR,3rd,09:25,10:35,2021-03-29T02:11:51Z,2,2,1,2020020545,R,Chicago Blackhawks,Nashville Predators,3,2,Nashville Predators,Chicago Blackhawks,0.0,1.0,tied,winning,2965
Stoppage,BOS716,STOP,Visitor Timeout,337,716,4,OVERTIME,OT,02:39,02:21,2021-03-31T01:47:56Z,4,4,1,2020020556,R,Boston Bruins,New Jersey Devils,4,4,New Jersey Devils,Boston Bruins,0.0,0.0,tied,tied,3759
Stoppage,PIT489,STOP,Visitor Timeout,271,489,3,REGULAR,3rd,17:12,02:48,2021-03-28T01:24:09Z,2,5,1,2020020561,R,Pittsburgh Penguins,New York Islanders,3,6,New York Islanders,Pittsburgh Penguins,-3.0,-3.0,losing,losing,3432
Stoppage,STL540,STOP,Visitor Timeout,284,540,3,REGULAR,3rd,19:11,00:49,2021-02-09T03:31:16Z,2,3,1,2020020565,R,St. Louis Blues,Arizona Coyotes,3,3,Arizona Coyotes,St. Louis Blues,-1.0,0.0,losing,tied,3551
Stoppage,WPG663,STOP,Home Timeout,301,663,3,REGULAR,3rd,19:18,00:42,2021-04-01T02:02:19Z,3,1,1,2020020566,R,Winnipeg Jets,Toronto Maple Leafs,3,1,Winnipeg Jets,Toronto Maple Leafs,-2.0,-2.0,losing,losing,3558
Stoppage,VAN341,STOP,Home Timeout,144,341,2,REGULAR,2nd,08:05,11:55,2021-05-17T03:48:15Z,4,0,1,2020020567,R,Vancouver Canucks,Calgary Flames,6,5,Vancouver Canucks,Calgary Flames,-4.0,-1.0,losing,losing,1685
Stoppage,VGK624,STOP,Visitor Timeout,273,624,3,REGULAR,3rd,14:39,05:21,2021-04-01T04:27:41Z,4,2,1,2020020569,R,Vegas Golden Knights,Los Angeles Kings,4,2,Los Angeles Kings,Vegas Golden Knights,2.0,2.0,winning,winning,3279
Stoppage,CHI715,STOP,Home Timeout,324,715,3,REGULAR,3rd,19:31,00:29,2021-04-02T02:39:26Z,4,3,1,2020020576,R,Chicago Blackhawks,Carolina Hurricanes,4,3,Chicago Blackhawks,Carolina Hurricanes,-1.0,-1.0,losing,losing,3571
Stoppage,EDM649,STOP,Visitor Timeout,304,649,3,REGULAR,3rd,18:57,01:03,2021-04-03T03:26:21Z,2,3,1,2020020582,R,Edmonton Oilers,Calgary Flames,2,3,Calgary Flames,Edmonton Oilers,-1.0,-1.0,losing,losing,3537
Stoppage,ANA665,STOP,Home Timeout,286,665,3,REGULAR,3rd,19:15,00:45,2021-04-03T04:32:55Z,4,2,1,2020020583,R,Anaheim Ducks,Arizona Coyotes,4,2,Anaheim Ducks,Arizona Coyotes,-2.0,-2.0,losing,losing,3555
Stoppage,BOS703,STOP,Visitor Timeout,278,703,3,REGULAR,3rd,18:45,01:15,2021-04-03T19:33:28Z,4,6,1,2020020585,R,Boston Bruins,Pittsburgh Penguins,5,7,Pittsburgh Penguins,Boston Bruins,-2.0,-2.0,losing,losing,3525
Stoppage,NYI759,STOP,Home Timeout,287,759,4,OVERTIME,OT,04:45,00:15,2021-04-04T01:38:46Z,2,2,1,2020020587,R,New York Islanders,Philadelphia Flyers,2,2,New York Islanders,Philadelphia Flyers,0.0,0.0,tied,tied,3885
Stoppage,NJD531,STOP,Home Timeout,298,531,3,REGULAR,3rd,19:53,00:07,2021-04-04T21:37:39Z,5,4,1,2020020597,R,New Jersey Devils,Washington Capitals,5,4,New Jersey Devils,Washington Capitals,-1.0,-1.0,losing,losing,3593
Stoppage,STL98,STOP,Home Timeout,147,98,2,REGULAR,2nd,07:40,12:20,2021-04-06T01:14:05Z,3,1,1,2020020606,R,St. Louis Blues,Vegas Golden Knights,6,1,St. Louis Blues,Vegas Golden Knights,-2.0,-5.0,losing,losing,1660
Stoppage,CGY561,STOP,Visitor Timeout,255,561,3,REGULAR,3rd,10:05,09:55,2021-04-06T03:44:22Z,3,2,1,2020020608,R,Calgary Flames,Toronto Maple Leafs,5,3,Toronto Maple Leafs,Calgary Flames,1.0,2.0,winning,winning,3005
Stoppage,MIN1102,STOP,Home Timeout,322,1102,3,REGULAR,3rd,19:25,00:35,2021-04-06T02:46:11Z,5,4,1,2020020609,R,Minnesota Wild,Colorado Avalanche,5,4,Minnesota Wild,Colorado Avalanche,-1.0,-1.0,losing,losing,3565
Stoppage,LAK18,STOP,Home Timeout,42,18,1,REGULAR,1st,07:28,12:32,2021-04-06T02:22:37Z,2,0,1,2020020610,R,Los Angeles Kings,Arizona Coyotes,5,2,Los Angeles Kings,Arizona Coyotes,-2.0,-3.0,losing,losing,448
Stoppage,NYR207,STOP,Visitor Timeout,66,207,1,REGULAR,1st,09:58,10:02,2021-04-06T23:29:09Z,0,3,1,2020020613,R,New York Rangers,Pittsburgh Penguins,4,8,Pittsburgh Penguins,New York Rangers,-3.0,-4.0,losing,losing,598
Stoppage,TOR81,STOP,Home Timeout,57,81,1,REGULAR,1st,10:25,09:35,2021-04-08T00:00:08Z,1,1,1,2020020622,R,Toronto Maple Leafs,Montréal Canadiens,2,3,Toronto Maple Leafs,Montréal Canadiens,0.0,1.0,tied,winning,625
Stoppage,TOR599,STOP,Visitor Timeout,325,599,3,REGULAR,3rd,19:13,00:47,2021-04-08T02:04:38Z,2,3,2,2020020622,R,Toronto Maple Leafs,Montréal Canadiens,2,3,Montréal Canadiens,Toronto Maple Leafs,-1.0,-1.0,losing,losing,3553
Stoppage,NYI759,STOP,Home Timeout,289,759,4,OVERTIME,OT,03:02,01:58,2021-04-09T01:37:20Z,2,2,1,2020020626,R,New York Islanders,Philadelphia Flyers,2,2,New York Islanders,Philadelphia Flyers,0.0,0.0,tied,tied,3782
Stoppage,WSH664,STOP,Home Timeout,308,664,3,REGULAR,3rd,18:15,01:45,2021-04-09T01:37:17Z,4,2,1,2020020628,R,Washington Capitals,Boston Bruins,4,2,Washington Capitals,Boston Bruins,-2.0,-2.0,losing,losing,3495
Stoppage,VGK24,STOP,Visitor Timeout,31,24,1,REGULAR,1st,04:41,15:19,2021-04-10T02:15:23Z,0,1,1,2020020639,R,Vegas Golden Knights,Arizona Coyotes,4,7,Arizona Coyotes,Vegas Golden Knights,-1.0,-3.0,losing,losing,281
Stoppage,CBJ15,STOP,Visitor Timeout,21,15,1,REGULAR,1st,03:13,16:47,2021-04-10T23:13:34Z,0,1,1,2020020643,R,Columbus Blue Jackets,Chicago Blackhawks,4,3,Chicago Blackhawks,Columbus Blue Jackets,-1.0,1.0,losing,winning,193
Stoppage,MTL628,STOP,Visitor Timeout,298,628,3,REGULAR,3rd,18:56,01:04,2021-04-13T01:24:45Z,2,4,1,2020020660,R,Montréal Canadiens,Toronto Maple Leafs,2,4,Toronto Maple Leafs,Montréal Canadiens,-2.0,-2.0,losing,losing,3536
Stoppage,NJD564,STOP,Home Timeout,232,564,3,REGULAR,3rd,18:41,01:19,2021-04-14T01:18:01Z,2,0,1,2020020666,R,New Jersey Devils,New York Rangers,3,0,New Jersey Devils,New York Rangers,-2.0,-3.0,losing,losing,3521
Stoppage,OTT550,STOP,Home Timeout,304,550,3,REGULAR,3rd,18:55,01:05,2021-04-15T01:25:51Z,3,1,1,2020020672,R,Ottawa Senators,Winnipeg Jets,3,2,Ottawa Senators,Winnipeg Jets,-2.0,-1.0,losing,losing,3535
Stoppage,PIT610,STOP,Home Timeout,274,610,3,REGULAR,3rd,17:08,02:52,2021-04-16T01:28:41Z,1,1,1,2020020680,R,Pittsburgh Penguins,Philadelphia Flyers,1,1,Pittsburgh Penguins,Philadelphia Flyers,0.0,0.0,tied,tied,3428
Stoppage,MTL476,STOP,Visitor Timeout,308,476,3,REGULAR,3rd,19:13,00:47,2021-04-17T00:23:59Z,1,2,1,2020020686,R,Montréal Canadiens,Calgary Flames,1,2,Calgary Flames,Montréal Canadiens,-1.0,-1.0,losing,losing,3553
Stoppage,NYR561,STOP,Home Timeout,231,561,3,REGULAR,3rd,06:38,13:22,2021-04-17T18:36:36Z,3,4,1,2020020691,R,New York Rangers,New Jersey Devils,3,6,New York Rangers,New Jersey Devils,1.0,3.0,winning,winning,2798
Stoppage,DET536,STOP,Home Timeout,238,536,3,REGULAR,3rd,12:36,07:24,2021-04-18T01:16:54Z,3,0,1,2020020695,R,Detroit Red Wings,Chicago Blackhawks,4,0,Detroit Red Wings,Chicago Blackhawks,-3.0,-4.0,losing,losing,3156
Stoppage,WPG613,STOP,Home Timeout,306,613,3,REGULAR,3rd,18:20,01:40,2021-04-18T01:27:32Z,3,0,1,2020020696,R,Winnipeg Jets,Edmonton Oilers,3,0,Winnipeg Jets,Edmonton Oilers,-3.0,-3.0,losing,losing,3500
