id,activePlayer,blockedShots,faceoffWinPctg,faceoffsLost,faceoffsTaken,faceoffsWon,firstName,firstSeasonForGameType,franchiseId,gameTypeId,gamesPlayed,giveaways,hits,lastName,lastSeasonForGameType,missedShots,playerId,positionCode,seasonsPlayed,shifts,takeaways,teamAbbrevs,timeOnIce
4485,False,267,44.8125,883,1600,717,Shane,19951996,,2,892,378,1856,Doan,20162017,953,8462038,R,21,20823,513,"PHX,ARI",1016156
6517,False,297,41.1692,956,1625,669,Tyler,20092010,,2,700,231,658,Ennis,20212022,478,8474589,R,13,12865,287,"BUF,MIN,TOR,EDM,OTT",636796
6882,False,72,43.2349,923,1626,703,Ryan,20122013,,2,325,154,210,Spooner,20182019,167,8475727,C,7,5875,102,"BOS,NYR,VAN,EDM",273588
6082,False,225,53.4599,760,1633,873,Andrew,20102011,,2,408,106,586,Desjardins,20162017,137,8471956,L,7,6531,134,"SJS,CHI",262877
4243,False,55,48.8131,841,1643,802,Alexei,19931994,,2,140,85,78,Yashin,20062007,164,8458939,C,12,2949,85,NYI,150432
4350,False,210,51.3007,805,1653,848,Vinny,19961997,,2,559,206,495,Prospal,20122013,401,8459492,L,16,12405,315,"TBL,PHI,NYR,CBJ",619696
6610,False,200,51.8919,801,1665,864,Ben,20102011,,2,237,37,173,Smith,20162017,96,8474727,R,7,4485,67,"CHI,SJS,TOR,COL",177166
8030,True,107,54.1043,766,1669,903,Nico,20182019,,2,206,45,256,Sturm,20222023,89,8481477,C,5,3756,63,"MIN,COL,SJS",156610
8159,True,124,42.8316,961,1681,720,Eetu,20192020,,2,212,81,231,Luostarinen,20222023,98,8480185,C,4,4231,112,"CAR,FLA",181005
6256,False,109,47.0273,891,1682,791,Andrew,20072008,,2,224,58,142,Ebbett,20142015,105,8473682,C,8,3684,57,"ANA,MIN,CHI,PHX,VAN,PIT",158635
5373,False,288,50.8575,831,1691,860,Adam,20062007,,2,378,49,406,Burish,20142015,130,8470063,R,9,6674,66,"CHI,DAL,SJS",261728
5877,False,441,50.4723,839,1694,855,Troy,20062007,,2,851,292,2061,Brouwer,20192020,571,8471426,R,14,18434,333,"CHI,WSH,STL,CGY,FLA",817437
4950,False,67,57.5793,722,1702,980,Mike,20022003,,2,161,40,134,Zigomanis,20102011,62,8467937,C,7,3052,54,"STL,CAR,PHX,PIT,TOR",122743
5741,True,692,45.1878,934,1704,770,Blake,20082009,,2,1118,502,1322,Wheeler,20222023,1098,8471218,R,15,25736,536,"BOS,ATL,WPG",1237976
4615,False,457,43.7024,961,1707,746,Craig,20002001,,2,713,110,1518,Adams,20142015,230,8465166,R,14,10817,153,"CAR,CHI,PIT",474049
5471,False,108,50.7026,842,1708,866,Tim,20062007,,2,207,39,214,Brent,20122013,68,8470283,C,7,3204,45,"ANA,PIT,CHI,TOR,CAR",132770
5984,False,344,50.4667,849,1714,865,Justin,20072008,,2,739,235,1754,Abdelkader,20192020,473,8471716,L,13,14878,166,DET,660626
7817,True,147,46.0069,933,1728,795,Kevin,20162017,,2,227,58,367,Rooney,20222023,75,8479291,C,7,3977,70,"NJD,NYR,CGY",168424
7168,False,113,40.9222,1025,1735,710,Markus,20132014,,2,335,71,218,Granlund,20192020,169,8476440,C,7,7084,146,"CGY,VAN,EDM",297398
4579,False,220,50.6017,862,1745,883,Steve,19971998,,2,349,104,924,Begin,20122013,184,8464994,L,13,5941,111,"MTL,DAL,BOS,NSH,CGY",250737
5207,False,83,48.0274,909,1749,840,Jiri,20052006,,2,189,63,249,Novotny,20082009,85,8469475,C,4,3640,41,"BUF,WSH,CBJ",165763
4840,False,66,54.0571,804,1750,946,Josef,20002001,,2,167,57,130,Vasicek,20072008,122,8467416,C,7,3234,86,"CAR,NSH,NYI",148885
5781,False,328,43.7607,987,1755,768,Blake,20062007,,2,909,357,1890,Comeau,20212022,516,8471260,L,16,18681,431,"NYI,CGY,CBJ,PIT,COL,DAL",835641
7341,True,160,43.7217,995,1768,773,Oskar,20152016,,2,355,84,422,Sundqvist,20222023,177,8476897,C,8,6374,138,"PIT,STL,DET,MIN",284332
4162,False,96,47.5761,930,1774,844,Teemu,19921993,,2,572,408,123,Selanne,20132014,583,8457981,R,21,11917,235,ANA,585271
7624,True,138,50.6704,883,1790,907,William,20152016,,2,521,271,125,Nylander,20222023,571,8477939,R,8,11322,372,TOR,536883
4719,False,148,49.1355,912,1793,881,Ben,20052006,,2,175,34,275,Guite,20092010,74,8466300,R,5,3384,68,"BOS,COL,NSH",132481
7661,True,192,42.4276,1034,1796,762,Ivan,20162017,,2,433,158,725,Barbashev,20222023,209,8477964,C,7,7933,201,"STL,VGK",363766
7847,True,77,41.402,1070,1826,756,Tage,20172018,,2,301,135,253,Thompson,20222023,312,8479420,C,6,5836,150,"STL,BUF",279367
6691,False,60,50.4338,914,1844,930,Anton,20112012,,2,215,70,213,Lander,20162017,62,8475165,C,6,3798,65,EDM,156386
4381,False,144,47.8049,963,1845,882,Pavol,19931994,,2,294,173,91,Demitra,20092010,271,8459648,R,16,7511,87,"LAK,MIN,VAN",341287
7616,True,293,43.662,1040,1846,806,Sam,20142015,,2,614,259,294,Reinhart,20222023,605,8477933,C,9,13020,224,"BUF,FLA",673561
6142,True,403,48.6052,958,1864,906,Kyle,20072008,,2,984,490,878,Okposo,20222023,822,8473449,R,16,20306,541,"NYI,BUF",1014865
8210,True,86,52.0364,895,1866,971,Josh,20192020,,2,133,63,161,Norris,20222023,120,8480064,C,4,3130,48,OTT,140766
7238,True,298,45.5851,1023,1880,857,Rickard,20122013,,2,651,364,889,Rakell,20222023,694,8476483,R,11,13825,256,"ANA,PIT",670732
4309,False,162,47.3684,990,1881,891,Rob,19931994,,2,457,178,377,Niedermayer,20102011,177,8459427,C,17,10323,135,"ANA,NJD,BUF",446085
8129,True,81,35.3968,1221,1890,669,Jack,20192020,,2,244,272,45,Hughes,20222023,235,8481559,C,4,5197,207,NJD,273084
4190,False,35,50.368,944,1902,958,Peter,19941995,,2,128,159,123,Forsberg,20102011,83,8458520,C,13,2983,91,"PHI,NSH,COL",142722
4299,False,104,49.4742,961,1902,941,Steve,19941995,,2,119,59,48,Rucchin,20062007,64,8459284,C,12,2778,100,"NYR,ATL",120810
