defensiveZoneFaceoffLosses,defensiveZoneFaceoffWins,defensiveZoneFaceoffs,evFaceoffs,evFaceoffsLost,evFaceoffsWon,faceoffWinPct,gameDate,gameId,gamesPlayed,homeRoad,lastName,neutralZoneFaceoffLosses,neutralZoneFaceoffWins,neutralZoneFaceoffs,offensiveZoneFaceoffLosses,offensiveZoneFaceoffWins,offensiveZoneFaceoffs,opponentTeamAbbrev,playerId,positionCode,ppFaceoffs,ppFaceoffsLost,ppFaceoffsWon,shFaceoffs,shFaceoffsLost,shFaceoffsWon,skaterFullName,teamAbbrev,totalFaceoffLosses,totalFaceoffWins,totalFaceoffs,game_type
,,,3,1,2,0.66666,2003-10-21,2003020078,1,R,Bergeron,,,,,,,COL,8470638,C,3,1,2,0,0,0,Patrice Bergeron,BOS,2,4,6,2
,,,1,1,0,0.0,2004-04-04,2003021222,1,R,Bergeron,,,,,,,NJD,8470638,C,4,4,0,3,3,0,Patrice Bergeron,BOS,8,0,8,2
,,,27,9,18,0.64285,2004-01-27,2003020749,1,R,Bergeron,,,,,,,NYI,8470638,C,1,1,0,0,0,0,Patrice Bergeron,BOS,10,18,28,2
,,,8,4,4,0.44444,2003-11-28,2003020326,1,H,Bergeron,,,,,,,NSH,8470638,C,1,1,0,0,0,0,Patrice Bergeron,BOS,5,4,9,2
,,,5,2,3,0.6,2003-12-16,2003020452,1,R,Bergeron,,,,,,,MTL,8470638,C,0,0,0,0,0,0,Patrice Bergeron,BOS,2,3,5,2
,,,11,7,4,0.46153,2003-11-19,2003020266,1,R,Bergeron,,,,,,,ATL,8470638,C,2,0,2,0,0,0,Patrice Bergeron,BOS,7,6,13,2
,,,0,0,0,,2003-12-13,2003020433,1,R,Bergeron,,,,,,,OTT,8470638,C,0,0,0,0,0,0,Patrice Bergeron,BOS,0,0,0,2
,,,10,4,6,0.5,2003-11-25,2003020311,1,R,Bergeron,,,,,,,STL,8470638,C,4,3,1,0,0,0,Patrice Bergeron,BOS,7,7,14,2
,,,9,3,6,0.6,2004-02-19,2003020896,1,R,Bergeron,,,,,,,PHI,8470638,C,0,0,0,1,1,0,Patrice Bergeron,BOS,4,6,10,2
,,,10,7,3,0.35714,2003-12-03,2003020364,1,R,Bergeron,,,,,,,ATL,8470638,C,4,2,2,0,0,0,Patrice Bergeron,BOS,9,5,14,2
,,,4,1,3,0.66666,2003-10-25,2003020109,1,R,Bergeron,,,,,,,NJD,8470638,C,2,1,1,0,0,0,Patrice Bergeron,BOS,2,4,6,2
,,,9,3,6,0.76923,2003-11-11,2003020213,1,H,Bergeron,,,,,,,EDM,8470638,C,4,0,4,0,0,0,Patrice Bergeron,BOS,3,10,13,2
,,,0,0,0,,2003-12-29,2003020536,1,R,Bergeron,,,,,,,WSH,8470638,C,0,0,0,0,0,0,Patrice Bergeron,BOS,0,0,0,2
,,,4,2,2,0.5,2003-12-22,2003020493,1,R,Bergeron,,,,,,,NYR,8470638,C,0,0,0,0,0,0,Patrice Bergeron,BOS,2,2,4,2
,,,3,3,0,0.4,2003-10-28,2003020121,1,R,Bergeron,,,,,,,MTL,8470638,C,2,0,2,0,0,0,Patrice Bergeron,BOS,3,2,5,2
,,,0,0,0,0.0,2003-12-18,2003020462,1,H,Bergeron,,,,,,,CGY,8470638,C,1,1,0,0,0,0,Patrice Bergeron,BOS,1,0,1,2
,,,1,0,1,0.4,2003-10-18,2003020067,1,R,Bergeron,,,,,,,LAK,8470638,C,7,5,2,2,1,1,Patrice Bergeron,BOS,6,4,10,2
,,,2,2,0,0.42857,2004-01-10,2003020625,1,H,Bergeron,,,,,,,DET,8470638,C,5,2,3,0,0,0,Patrice Bergeron,BOS,4,3,7,2
,,,13,4,9,0.64705,2003-12-11,2003020417,1,R,Bergeron,,,,,,,WSH,8470638,C,4,2,2,0,0,0,Patrice Bergeron,BOS,6,11,17,2
,,,2,1,1,0.5,2003-10-30,2003020134,1,H,Bergeron,,,,,,,MTL,8470638,C,0,0,0,0,0,0,Patrice Bergeron,BOS,1,1,2,2
,,,3,2,1,0.25,2004-03-30,2003021187,1,R,Bergeron,,,,,,,CAR,8470638,C,5,4,1,0,0,0,Patrice Bergeron,BOS,6,2,8,2
,,,5,2,3,0.6,2004-01-08,2003020610,1,H,Bergeron,,,,,,,PIT,8470638,C,0,0,0,0,0,0,Patrice Bergeron,BOS,2,3,5,2
,,,0,0,0,,2003-10-11,2003020025,1,R,Bergeron,,,,,,,FLA,8470638,C,0,0,0,0,0,0,Patrice Bergeron,BOS,0,0,0,2
,,,7,3,4,0.5,2004-02-14,2003020856,1,R,Bergeron,,,,,,,CHI,8470638,C,1,0,1,2,2,0,Patrice Bergeron,BOS,5,5,10,2
,,,7,4,3,0.4375,2004-01-20,2003020698,1,R,Bergeron,,,,,,,NYR,8470638,C,8,5,3,1,0,1,Patrice Bergeron,BOS,9,7,16,2
,,,1,1,0,0.0,2004-01-07,2003020607,1,R,Bergeron,,,,,,,DET,8470638,C,2,2,0,1,1,0,Patrice Bergeron,BOS,4,0,4,2
,,,15,9,6,0.36363,2004-01-22,2003020714,1,H,Bergeron,,,,,,,BUF,8470638,C,4,2,2,3,3,0,Patrice Bergeron,BOS,14,8,22,2
,,,11,4,7,0.46666,2003-11-15,2003020243,1,H,Bergeron,,,,,,,VAN,8470638,C,2,2,0,2,2,0,Patrice Bergeron,BOS,8,7,15,2
,,,3,3,0,0.42857,2004-04-15,2003030125,1,H,Bergeron,,,,,,,MTL,8470638,C,4,1,3,0,0,0,Patrice Bergeron,BOS,4,3,7,3
,,,3,1,2,0.5,2004-04-13,2003030124,1,R,Bergeron,,,,,,,MTL,8470638,C,0,0,0,1,1,0,Patrice Bergeron,BOS,2,2,4,3
,,,3,3,0,0.44444,2004-04-07,2003030121,1,H,Bergeron,,,,,,,MTL,8470638,C,6,2,4,0,0,0,Patrice Bergeron,BOS,5,4,9,3
,,,6,2,4,0.625,2004-04-17,2003030126,1,R,Bergeron,,,,,,,MTL,8470638,C,1,0,1,1,1,0,Patrice Bergeron,BOS,3,5,8,3
,,,5,3,2,0.5,2004-04-11,2003030123,1,R,Bergeron,,,,,,,MTL,8470638,C,3,1,2,0,0,0,Patrice Bergeron,BOS,4,4,8,3
,,,3,1,2,0.66666,2004-04-19,2003030127,1,H,Bergeron,,,,,,,MTL,8470638,C,0,0,0,0,0,0,Patrice Bergeron,BOS,1,2,3,3
,,,5,3,2,0.33333,2004-04-09,2003030122,1,H,Bergeron,,,,,,,MTL,8470638,C,1,1,0,0,0,0,Patrice Bergeron,BOS,4,2,6,3
,,,9,2,7,0.77777,2005-11-20,2005020309,1,R,Bergeron,,,,,,,NYR,8470638,C,0,0,0,0,0,0,Patrice Bergeron,BOS,2,7,9,2
,,,12,5,7,0.5,2006-03-09,2005020928,1,H,Bergeron,,,,,,,MTL,8470638,C,7,4,3,5,3,2,Patrice Bergeron,BOS,12,12,24,2
,,,14,9,5,0.36363,2006-03-16,2005020978,1,H,Bergeron,,,,,,,OTT,8470638,C,6,4,2,2,1,1,Patrice Bergeron,BOS,14,8,22,2
,,,17,8,9,0.57894,2005-12-15,2005020462,1,R,Bergeron,,,,,,,MIN,8470638,C,0,0,0,2,0,2,Patrice Bergeron,BOS,8,11,19,2
,,,21,13,8,0.35483,2006-03-14,2005020969,1,R,Bergeron,,,,,,,TOR,8470638,C,5,4,1,5,3,2,Patrice Bergeron,BOS,20,11,31,2
,,,8,2,6,0.7,2005-10-10,2005020045,1,R,Bergeron,,,,,,,TBL,8470638,C,1,0,1,1,1,0,Patrice Bergeron,BOS,3,7,10,2
